sample	Ng_complex	Ng_branch	Ng_bisect	Ng_coreFuc	Ng_sia
GTEX-145LS-1226-SM-5Q5D9	-0.727037380621639	-0.727037380621639	-0.727037380621639	-0.727037380621639	-0.727037380621639
GTEX-145LS-1326-SM-5Q5EP	-1.26995719539047	-1.26995719539047	-1.26995719539047	-1.26995719539047	-1.26995719539047
GTEX-145LS-1826-SM-5LUAZ	-0.622161976966176	-0.622161976966176	-0.716881136591669	-0.622161976966176	-0.622161976966176
GTEX-145LS-2026-SM-5Q5D7	-0.161969465242159	-0.161969465242159	-0.161969465242159	-0.161969465242159	-0.161969465242159
GTEX-145LS-2326-SM-5TDCY	-0.0884565691469123	-0.0884565691469123	-0.897806249396521	-0.180918750106061	-0.361587814898738
GTEX-145LS-2426-SM-5TDCZ	0.135697607223686	0.135697607223686	0.135697607223686	0.100463697748545	0.0371861713724336
GTEX-145LS-2526-SM-5TDC9	0.128602225206375	0.128602225206375	0.128602225206375	-0.296230335478092	0.128602225206375
GTEX-145LS-2726-SM-5Q5D8	-0.0602315704084555	-0.0602315704084555	-0.182391539314264	-0.0602315704084555	-0.0602315704084555
GTEX-145LS-2926-SM-5O99G	-0.811741129467585	-0.811741129467585	-0.811741129467585	-0.811741129467585	-0.811741129467585
GTEX-145LS-3026-SM-5O99S	-1.33072898545217	-1.33072898545217	-1.33072898545217	-1.33072898545217	-1.33072898545217
GTEX-145LS-3126-SM-5Q5BY	-1.27232602588804	-1.27232602588804	-1.27232602588804	-1.27232602588804	-1.27232602588804
GTEX-145LS-3226-SM-5TDCA	-0.344348113893731	-0.344348113893731	-0.598363041239165	-0.344348113893731	-0.353843864963765
GTEX-145LT-0126-SM-5S2QJ	-0.397196548577325	-0.397196548577325	-0.884774660588106	-0.397196548577325	-1.25023834792159
GTEX-145LT-0226-SM-5S2QK	-0.357519388407746	-0.357519388407746	-0.489731435464853	-0.357519388407746	-0.711007742279503
GTEX-145LT-0326-SM-5LUAD	-0.670161849790825	-0.670161849790825	-0.670161849790825	-0.670161849790825	-0.670161849790825
GTEX-145LT-0426-SM-5LUAP	0.204862502364304	0.116475869746446	0.204862502364304	0.076870007772602	0.175475721904895
GTEX-145LT-0526-SM-5LUB2	-0.591142125476673	-0.591142125476673	-0.591142125476673	-0.591142125476673	-0.591142125476673
GTEX-145LT-0626-SM-5O99E	-1.10680224510667	-1.10680224510667	-1.10680224510667	-1.10680224510667	-1.10680224510667
GTEX-145LT-0726-SM-5S2VM	-0.0798194411124868	-0.0798194411124868	-0.0798194411124868	-0.0798194411124868	-0.256251555599201
GTEX-145LT-0826-SM-5S2QL	-0.902777708642125	-0.902777708642125	-0.902777708642125	-0.902777708642125	-1.01864295581386
GTEX-145LT-0926-SM-5LU9C	-0.768959827984183	-0.768959827984183	-0.768959827984183	-0.768959827984183	-0.768959827984183
GTEX-145LT-1026-SM-5LU9O	-0.230693550715726	-0.230693550715726	-0.230693550715726	-0.230693550715726	-0.230693550715726
GTEX-145LT-1126-SM-5LUA1	-0.500826812009403	-0.500826812009403	-0.583043839919541	-0.500826812009403	-0.500826812009403
GTEX-145LT-1226-SM-5Q5BZ	-0.910439143078779	-0.910439143078779	-0.910439143078779	-0.910439143078779	-0.910439143078779
GTEX-145LT-1326-SM-5O9AQ	-1.08857833631009	-1.08857833631009	-1.08857833631009	-1.08857833631009	-1.08857833631009
GTEX-145LT-1426-SM-5O9B3	-1.03802256794976	-1.03802256794976	-1.03802256794976	-1.03802256794976	-1.03802256794976
GTEX-145LT-1526-SM-5O98P	-0.808854348386498	-0.808854348386498	-0.808854348386498	-0.808854348386498	-1.09612521430217
GTEX-145LT-1626-SM-5O992	-1.87731181250168	-1.9557028179725	-1.87731181250168	-1.87731181250168	-1.87731181250168
GTEX-145LT-1726-SM-5QGP3	-1.05058773457523	-1.05058773457523	-1.05058773457523	-1.05058773457523	-1.05058773457523
GTEX-145LT-1826-SM-5QGP4	-0.436295107360979	-0.436295107360979	-0.436295107360979	-0.436295107360979	-0.436295107360979
GTEX-145LT-1926-SM-5QGP5	-0.0588382391458163	-0.0588382391458163	-0.0588382391458163	-0.0588382391458163	-0.334301920055862
GTEX-145LU-0011-R10a-SM-5PNWJ	-1.90755466725457	-1.90755466725457	-1.90755466725457	-1.90755466725457	-1.90755466725457
GTEX-145LU-0011-R11b-SM-5P9JX	-2.09335263554538	-2.09335263554538	-2.09335263554538	-2.09335263554538	-2.09335263554538
GTEX-145LU-0011-R1a-SM-5Q5CE	-3.24835919967064	-3.24835919967064	-3.24835919967064	-3.24835919967064	-3.24835919967064
GTEX-145LU-0011-R3a-SM-5P9K2	-1.97933642663487	-1.97933642663487	-1.97933642663487	-1.97933642663487	-1.97933642663487
GTEX-145LU-0011-R6a-SM-5S2V6	-2.25439932135974	-2.25439932135974	-2.25439932135974	-2.25439932135974	-2.25439932135974
GTEX-145LU-0011-R8b-SM-5PNZG	-1.67224962707897	-1.67224962707897	-1.67224962707897	-1.67224962707897	-1.67224962707897
GTEX-145LU-0011-R9b-SM-5SI66	-1.17525291153482	-1.17525291153482	-1.17525291153482	-1.17525291153482	-1.17525291153482
GTEX-145LU-0126-SM-5TDCB	-0.357780315136608	-0.357780315136608	-0.447909143646489	-0.357780315136608	-0.90575769050853
GTEX-145LU-0426-SM-5O9AH	0.265732447021775	0.265732447021775	-0.648108765183806	0.0197640050041502	-0.0902655884242249
GTEX-145LU-0526-SM-5O9AT	-0.532174366345771	-0.532174366345771	-0.532174366345771	-0.532174366345771	-0.532174366345771
GTEX-145LU-0726-SM-5QGP2	-0.311649823609265	-0.311649823609265	-0.311649823609265	-0.311649823609265	-0.311649823609265
GTEX-145LU-0826-SM-79OJJ	-0.260896739556121	-0.260896739556121	-1.03947787450604	-0.260896739556121	-0.544880888606317
GTEX-145LU-0926-SM-79OJL	-1.53896698210675	-1.53896698210675	-1.53896698210675	-1.53896698210675	-1.53896698210675
GTEX-145LU-1226-SM-5LU9B	-0.130704411399846	-0.130704411399846	-0.130704411399846	-0.130704411399846	-0.139139797563896
GTEX-145LU-1326-SM-5LU9N	-3.01378144976697	-3.01378144976697	-3.01378144976697	-3.01378144976697	-3.01378144976697
GTEX-145LU-1926-SM-79OJN	-0.774208535322455	-0.774208535322455	-0.774208535322455	-0.774208535322455	-1.48840359914296
GTEX-145LU-2026-SM-5Q5E8	-2.000330391665	-2.000330391665	-2.000330391665	-2.000330391665	-2.06907993887087
GTEX-145LU-2126-SM-5Q5E9	-1.33585371371206	-1.33585371371206	-1.33585371371206	-1.33585371371206	-1.33585371371206
GTEX-145LU-2626-SM-5LU9Z	-1.5146044885733	-1.5146044885733	-1.5146044885733	-1.5146044885733	-1.5146044885733
GTEX-145LU-2826-SM-5TDD1	-0.782777454482046	-0.782777454482046	-0.782777454482046	-0.782777454482046	-0.782777454482046
GTEX-145LV-0226-SM-5S2QG	-1.52259731758071	-1.52259731758071	-1.52259731758071	-1.52259731758071	-1.52259731758071
GTEX-145LV-0326-SM-5Q5BW	-2.64035005712543	-2.64035005712543	-2.64035005712543	-2.64035005712543	-2.64035005712543
GTEX-145LV-1026-SM-5O9AE	-0.401174975278408	-0.401174975278408	-0.401174975278408	-0.575630616503536	-0.835643832809183
GTEX-145LV-1226-SM-5S2QH	-0.67486019152347	-0.67486019152347	-0.67486019152347	-0.67486019152347	-0.67486019152347
GTEX-145LV-1326-SM-5S2QI	-0.829222891569831	-0.829222891569831	-0.973321325916602	-1.28148391973715	-0.887195240476988
GTEX-145LV-1426-SM-5Q5BV	-0.63008849972208	-0.63008849972208	-0.63008849972208	-0.63008849972208	-0.63008849972208
GTEX-145LV-2126-SM-5LU8N	-0.510987600928414	-0.510987600928414	-0.510987600928414	-0.510987600928414	-0.510987600928414
GTEX-145LV-2326-SM-5LU8Z	-1.58961028293796	-1.58961028293796	-1.58961028293796	-1.58961028293796	-1.58961028293796
GTEX-145LV-2526-SM-5S2VA	0.188925787076919	0.188925787076919	0.188925787076919	0.188925787076919	-0.241245198282688
GTEX-145ME-0126-SM-5S2QM	0.417384554802319	0.417384554802319	-0.64721601687416	0.315867278367348	-0.0958160584491731
GTEX-145ME-0226-SM-5S2QN	-0.0119123109612337	-0.0119123109612337	-0.0119123109612337	-0.275955257630319	-0.23613218822696
GTEX-145ME-0326-SM-5S2QO	-1.07817148678039	-1.07817148678039	-1.1466313698147	-1.07817148678039	-1.14949100774023
GTEX-145ME-0726-SM-5O9A3	-0.145875278682659	-0.145875278682659	-0.159469752829352	-0.521208377703132	-0.145875278682659
GTEX-145ME-0826-SM-5O9AF	-0.596439123172564	-0.596439123172564	-0.596439123172564	-0.596439123172564	-0.596439123172564
GTEX-145ME-0926-SM-5O9AR	-0.494402484818047	-0.494402484818047	-0.494402484818047	-0.494402484818047	-0.494402484818047
GTEX-145ME-1026-SM-5O9B4	-0.383937476204001	-0.383937476204001	-0.383937476204001	-0.383937476204001	-1.06046295623971
GTEX-145ME-1126-SM-5SIAT	-0.469453393778121	-0.469453393778121	-0.863102003054971	-0.469453393778121	-0.469453393778121
GTEX-145ME-1226-SM-5SIB6	0.16782937215791	-0.105839374658957	-1.09188721978726	-0.0647355127290806	-0.88527635512195
GTEX-145ME-1326-SM-5O98Q	0.170083257692786	0.170083257692786	0.170083257692786	0.170083257692786	0.170083257692786
GTEX-145ME-1426-SM-5RQJS	-0.530106290203396	-0.530106290203396	-0.530106290203396	-0.530106290203396	-0.530106290203396
GTEX-145ME-1526-SM-5Q5F2	-0.611486444109679	-0.611486444109679	-0.611486444109679	-0.611486444109679	-0.611486444109679
GTEX-145ME-1626-SM-5RQI3	-0.413500304034208	-0.413500304034208	-0.413500304034208	-0.413500304034208	-0.413500304034208
GTEX-145ME-1726-SM-5Q5EU	-0.753722831992956	-0.753722831992956	-0.753722831992956	-0.753722831992956	-0.920514641720602
GTEX-145ME-1826-SM-5SI9G	-0.98324743370949	-0.98324743370949	-0.98324743370949	-0.98324743370949	-0.98324743370949
GTEX-145ME-1926-SM-5MR6T	-0.230163457798499	-0.230163457798499	-0.230163457798499	-0.230163457798499	-0.612892190483101
GTEX-145ME-2026-SM-5SIA5	-2.02619728758601	-2.02619728758601	-2.02619728758601	-2.02619728758601	-2.02619728758601
GTEX-145ME-2126-SM-5SIAH	-0.430024107670572	-0.430024107670572	-0.430024107670572	-0.430024107670572	-0.430024107670572
GTEX-145ME-2226-SM-5S2VY	-0.937066836891792	-0.937066836891792	-1.15179969075213	-0.937066836891792	-0.937066836891792
GTEX-145ME-5004-SM-7MGXP	-1.8739748748525	-1.8739748748525	-1.8739748748525	-1.8739748748525	-1.8739748748525
GTEX-145ME-5007-SM-7DHN8	-0.547494089007449	-0.547494089007449	-0.547494089007449	-0.547494089007449	-0.547494089007449
GTEX-145MF-0426-SM-5LU9T	-0.727939308775122	-0.727939308775122	-1.0198158858837	-0.727939308775122	-0.727939308775122
GTEX-145MF-0526-SM-5LUA6	-0.155203132408562	-0.155203132408562	-0.155203132408562	-0.155203132408562	-0.155203132408562
GTEX-145MF-0626-SM-5LUAI	-0.528456621479299	-0.528456621479299	-0.61999016318669	-0.746110839454981	-1.21648322722269
GTEX-145MF-0726-SM-5Q5BT	-0.768991766562083	-0.768991766562083	-0.768991766562083	-0.768991766562083	-0.768991766562083
GTEX-145MF-0826-SM-5QGQA	-1.20863809325605	-1.20863809325605	-1.49489129100925	-2.16353314256159	-1.20863809325605
GTEX-145MF-0926-SM-5Q5EA	-0.411533487226828	-0.411533487226828	-0.619702040156556	-0.922849715376889	-0.719303921228054
GTEX-145MF-1026-SM-5Q5EQ	-0.942555973755006	-0.942555973755006	-0.942555973755006	-0.942555973755006	-1.26797711141539
GTEX-145MF-1426-SM-5O9B6	-1.01348030018918	-1.01348030018918	-1.01348030018918	-1.01348030018918	-1.14561396738155
GTEX-145MF-1526-SM-5LU95	-0.295947931420355	-0.295947931420355	-0.406898742131392	-0.295947931420355	-0.295947931420355
GTEX-145MF-1726-SM-5LU9H	-0.151370456881243	-0.151370456881243	-0.151370456881243	-0.151370456881243	-0.151370456881243
GTEX-145MF-2226-SM-7EPIR	-1.06924473652519	-1.06924473652519	-1.06924473652519	-1.06924473652519	-1.06924473652519
GTEX-145MF-2626-SM-5O98S	-0.14641336689623	-0.14641336689623	-0.535516000052792	-0.14641336689623	-0.180167380478291
GTEX-145MF-2726-SM-5O995	-1.84558435196743	-1.84558435196743	-1.84558435196743	-1.84558435196743	-1.84558435196743
GTEX-145MF-2826-SM-7EPGU	-1.19398846222062	-1.19398846222062	-1.19398846222062	-1.19398846222062	-1.19398846222062
GTEX-145MG-0011-R10a-SM-5PNWG	-1.24994378202247	-1.24994378202247	-1.24994378202247	-1.24994378202247	-1.24994378202247
GTEX-145MG-0011-R3b-SM-5SI67	-2.2803906011842	-2.2803906011842	-2.2803906011842	-2.2803906011842	-2.2803906011842
GTEX-145MG-0011-R5b-SM-5S2VU	-3.58117524076355	-3.58117524076355	-3.58117524076355	-3.58117524076355	-3.58117524076355
GTEX-145MG-0011-R7b-SM-5P9JY	-2.50874910470089	-2.50874910470089	-2.50874910470089	-2.50874910470089	-2.50874910470089
GTEX-145MG-0126-SM-5TDDA	0.027292277601486	0.027292277601486	0.027292277601486	0.027292277601486	-0.127774385859457
GTEX-145MG-0226-SM-5TDDB	-2.00826415182013	-2.01630742739882	-2.00826415182013	-2.00826415182013	-2.0130689392715
GTEX-145MG-0826-SM-5Q5C2	0.503853173976677	0.503853173976677	-0.297196163895407	0.503853173976677	0.0209000210726602
GTEX-145MG-1526-SM-5Q5EM	-0.998156083335782	-0.998156083335782	-0.998156083335782	-0.998156083335782	-0.998156083335782
GTEX-145MG-3026-SM-5RQJA	-1.63871580429057	-1.63871580429057	-1.63871580429057	-1.63871580429057	-1.63871580429057
GTEX-145MG-3126-SM-5Q5D3	-1.6832377469445	-1.6832377469445	-1.6832377469445	-1.6832377469445	-1.6832377469445
GTEX-145MH-0011-R10b-SM-5PNUK	-1.28870989319344	-1.28870989319344	-1.28870989319344	-1.28870989319344	-1.28870989319344
GTEX-145MH-0011-R11a-SM-5P9HQ	-1.41749002480925	-1.41749002480925	-1.41749002480925	-1.41749002480925	-1.41749002480925
GTEX-145MH-0011-R1b-SM-5PNWY	-1.8618270510516	-1.8618270510516	-1.8618270510516	-1.8618270510516	-1.8618270510516
GTEX-145MH-0011-R3b-SM-5P9JQ	-1.44366956834315	-1.44366956834315	-1.44366956834315	-1.44366956834315	-1.44366956834315
GTEX-145MH-0011-R5a-SM-5P9JT	-1.56800724966576	-1.56800724966576	-1.56800724966576	-1.56800724966576	-1.56800724966576
GTEX-145MH-0011-R6a-SM-5PNZ7	-1.73593216082852	-1.73593216082852	-1.73593216082852	-1.73593216082852	-1.73593216082852
GTEX-145MH-0011-R7a-SM-5PNWH	-1.45071324955381	-1.45071324955381	-1.45071324955381	-1.45071324955381	-1.45071324955381
GTEX-145MH-0011-R8a-SM-5PNUL	-1.73772365354201	-1.73772365354201	-1.73772365354201	-1.73772365354201	-1.73772365354201
GTEX-145MH-0326-SM-5LU8H	-2.16674385355237	-2.23111646609095	-2.16674385355237	-2.16674385355237	-2.16674385355237
GTEX-145MH-0426-SM-5LU8T	0.310001041998424	0.310001041998424	-0.301963266272593	0.310001041998424	0.073737044353892
GTEX-145MH-0626-SM-5NQAK	0.104067354574389	0.104067354574389	0.104067354574389	0.104067354574389	0.061068788826497
GTEX-145MH-1026-SM-5Q5CI	-1.23749621278669	-1.23749621278669	-1.23749621278669	-1.23749621278669	-1.23749621278669
GTEX-145MH-1226-SM-5RQJT	-0.851303046004407	-0.851303046004407	-0.851303046004407	-0.851303046004407	-0.851303046004407
GTEX-145MH-1426-SM-5QGPO	0.0544281880820641	0.0544281880820641	0.0544281880820641	0.0544281880820641	-0.0535468155780755
GTEX-145MH-1526-SM-5LUAU	-0.10031010256554	-0.10031010256554	-0.671957230087714	-0.120030920586506	-0.10031010256554
GTEX-145MH-2326-SM-5O9AW	-0.619238269233755	-0.619238269233755	-0.619238269233755	-0.619238269233755	-0.619238269233755
GTEX-145MH-2726-SM-5QGQ6	-0.881110968776211	-0.881110968776211	-0.881110968776211	-0.881110968776211	-0.881110968776211
GTEX-145MH-2826-SM-5RQJF	-0.348083929331717	-0.500172100448932	-0.788467047853085	-0.398178790424708	-1.46578871957515
GTEX-145MH-2926-SM-5Q5D2	-1.30664557752467	-1.30664557752467	-1.30664557752467	-1.30664557752467	-1.30664557752467
GTEX-145MH-3026-SM-5Q5DZ	-1.72115496466962	-1.72115496466962	-1.72115496466962	-1.72115496466962	-1.72115496466962
GTEX-145MH-3126-SM-5S2QT	-0.164529265038577	-0.164529265038577	-0.321300065813586	-0.164529265038577	-0.164529265038577
GTEX-145MI-0011-R10a-SM-5PNZD	-1.76199868571436	-1.76199868571436	-1.76199868571436	-1.76199868571436	-1.76199868571436
GTEX-145MI-0011-R11a-SM-5P9JZ	-2.06549193262212	-2.06549193262212	-2.06549193262212	-2.06549193262212	-2.06549193262212
