sample	GM3_reach	GM2_reach	GM1_reach	GD3_reach
GTEX-1C475-1226-SM-7SB72	-0.110873892720938	-1.00023515611198	-1.00023515611198	-0.320534383656039
GTEX-1C475-1326-SM-7SB73	-0.77602999121225	-0.880829737004291	-0.880829737004291	-0.77602999121225
GTEX-1C475-1426-SM-793CH	-0.459494790383105	-0.460533889359203	-0.460533889359203	-0.459494790383105
GTEX-1C475-1526-SM-7DHM3	-0.135361709919935	-0.135361709919935	-0.135361709919935	-0.135361709919935
GTEX-1C475-1626-SM-731FP	-1.10078164977558	-1.10078164977558	-1.10078164977558	-1.10078164977558
GTEX-1C475-1726-SM-73KVX	-1.8395795518656	-1.8395795518656	-1.8395795518656	-1.8395795518656
GTEX-1C475-1826-SM-73KWA	-1.16222391333005	-1.16222391333005	-1.16222391333005	-1.16222391333005
GTEX-1C475-1926-SM-7DUFV	-0.414717997934285	-0.513493753875829	-0.513493753875829	-0.866411755089942
GTEX-1C475-2026-SM-793CI	-0.0948242933999433	-0.0948242933999433	-0.0948242933999433	-0.881974539091273
GTEX-1C475-2126-SM-7PBXU	-0.939648902362701	-0.939648902362701	-0.939648902362701	-0.939648902362701
GTEX-1C4CL-0005-SM-7MKF3	-2.88666698616291	-3.34149518768263	-3.34149518768263	-2.88666698616291
GTEX-1C4CL-0008-SM-EXOI2	-0.0757502650032667	-1.14226805914467	-1.97742669359453	-0.969173105692319
GTEX-1C4CL-0126-SM-7IGN5	-1.08881061969252	-1.08881061969252	-1.08881061969252	-1.08881061969252
GTEX-1C4CL-0326-SM-7DHMH	-1.75487430894231	-1.75487430894231	-1.75487430894231	-1.75487430894231
GTEX-1C4CL-0426-SM-7939N	-0.618298845376716	-0.618298845376716	-0.618298845376716	-0.618298845376716
GTEX-1C4CL-0526-SM-73KVK	-0.880787989168278	-0.880787989168278	-0.880787989168278	-0.880787989168278
GTEX-1C4CL-0626-SM-731DM	-0.579526701753733	-0.960817016500532	-0.960817016500532	-0.579526701753733
GTEX-1C4CL-0726-SM-7IGP9	-0.296162315423701	-0.296162315423701	-0.296162315423701	-0.296162315423701
GTEX-1C4CL-0826-SM-7EWEZ	-0.269637659541127	-0.332181462935728	-0.332181462935728	-0.269637659541127
GTEX-1C4CL-0926-SM-79OL2	-1.55645806247038	-1.55645806247038	-1.90667361668528	-1.55645806247038
GTEX-1C4CL-1226-SM-7DUFT	-0.645675552157774	-0.645675552157774	-0.645675552157774	-0.645675552157774
GTEX-1C4CL-1426-SM-793CT	0.0125296118168082	0.0125296118168082	0.0125296118168082	0.0125296118168082
GTEX-1C4CL-1526-SM-7MGX4	-0.874116208412447	-0.874116208412447	-0.874116208412447	-0.874116208412447
GTEX-1C4CL-1626-SM-7DUF3	-0.590462150850913	-0.590462150850913	-0.590462150850913	-0.590462150850913
GTEX-1C4CL-1926-SM-731DY	-0.891864715612655	-0.891864715612655	-0.891864715612655	-0.891864715612655
GTEX-1C4CL-2026-SM-731EB	-0.704821872526969	-0.704821872526969	-0.704821872526969	-0.704821872526969
GTEX-1C4CL-2126-SM-7IGQC	-0.87225060169579	-0.87225060169579	-0.87225060169579	-0.87225060169579
GTEX-1C64N-0005-SM-7PBY7	-2.51840905802859	-2.51840905802859	-2.51840905802859	-2.51840905802859
GTEX-1C64N-0008-SM-EXUR6	-0.534395115699225	-0.680869746311857	-1.62231096239141	-1.06536240049995
GTEX-1C64N-0011-R11b-SM-7P8Q6	-1.04086474788153	-1.04086474788153	-1.04086474788153	-1.04086474788153
GTEX-1C64N-0011-R1b-SM-7P8Q7	-2.18922137561684	-2.18922137561684	-2.18922137561684	-2.18922137561684
GTEX-1C64N-0011-R6a-SM-7IGO9	-3.10102953699639	-3.10102953699639	-3.10102953699639	-3.10102953699639
GTEX-1C64N-0011-R7a-SM-7IGOI	-2.94729259483017	-2.94729259483017	-2.94729259483017	-2.94729259483017
GTEX-1C64N-0011-R8b-SM-7MGXE	-3.25874036320125	-3.25874036320125	-3.25874036320125	-3.25874036320125
GTEX-1C64N-0126-SM-793D7	-1.33530921475275	-1.33530921475275	-1.33530921475275	-1.33530921475275
