sample	sLeX_reachability
GTEX-11DXW-0011-R5b-SM-DO11D	-2.10672240270722
GTEX-11DXW-0011-R6a-SM-DO11N	-1.28371579194698
GTEX-11DXW-0011-R7b-SM-DO119	-2.3362172253452
GTEX-11DXW-0226-SM-5H122	-0.850876328083701
GTEX-11DXW-0326-SM-5H11W	-0.484017846331268
GTEX-11DXW-0426-SM-5H12E	-0.27357539277074
GTEX-11DXW-0526-SM-5H127	-0.819641901263526
GTEX-11DXW-0626-SM-5N9ER	-0.682308394988229
GTEX-11DXW-0726-SM-5H12J	-2.09289624339511
GTEX-11DXW-0826-SM-5H118	-0.793016921538338
GTEX-11DXW-1026-SM-5H11K	-0.902831415308938
GTEX-11DXW-1126-SM-5H12Q	-1.02322799056072
GTEX-11DXW-1226-SM-5H133	-0.707927492316113
GTEX-11DXX-0005-SM-5NQ8B	-2.41132328757706
GTEX-11DXX-0008-SM-5Q5B8	-0.616119130808312
GTEX-11DXX-0126-SM-5EGH7	-0.566111598914411
GTEX-11DXX-0226-SM-5P9HL	-0.451845330053616
GTEX-11DXX-0326-SM-5PNWC	-2.43147665993301
GTEX-11DXX-0426-SM-5EQ5F	-0.455286492666383
GTEX-11DXX-0526-SM-5PNVR	-1.56842229338305
GTEX-11DXX-0626-SM-5Q5AG	-0.456546769006386
GTEX-11DXX-0726-SM-5H12X	-0.503089578361094
GTEX-11DXX-0826-SM-5GZZP	-0.367883373465887
GTEX-11DXX-0926-SM-5H112	-1.87722552924111
GTEX-11DXX-1026-SM-5H11E	-0.868927055182542
GTEX-11DXX-1126-SM-5GZZK	-1.04321867887139
GTEX-11DXX-1226-SM-5GICD	-0.436353306985613
GTEX-11DXX-1326-SM-5GIDZ	-0.956034957556395
GTEX-11DXX-1426-SM-5GIDU	-0.338249318782476
GTEX-11DXX-1526-SM-5H115	-0.408164819822652
GTEX-11DXX-1626-SM-5H11H	-1.32506351569243
GTEX-11DXX-1726-SM-5H11T	-0.410677575933234
GTEX-11DXX-1826-SM-5H126	-0.595356298639321
GTEX-11DXX-1926-SM-5EGJK	-0.655852865882797
GTEX-11DXX-2026-SM-5EGJL	-0.364632718385051
GTEX-11DXX-2126-SM-5PNYR	-1.35276925981459
GTEX-11DXX-2326-SM-9YFKS	-0.803135657433733
GTEX-11DXX-2426-SM-5GZZW	-0.370719868413696
GTEX-11DXX-2526-SM-5H119	-0.420597418926631
GTEX-11DXX-2626-SM-5Q5A3	-0.79467750270461
GTEX-11DXX-2726-SM-5PNXO	-1.94538043944272
GTEX-11DXY-0006-SM-5NQ8N	-2.90811411255821
GTEX-11DXY-0008-SM-5QGR4	-0.509649546726098
GTEX-11DXY-0011-R10b-SM-DO12C	-0.576757000255915
GTEX-11DXY-0011-R11a-SM-DNZZN	-0.518349405720723
GTEX-11DXY-0011-R5b-SM-DNZZL	-0.940822444000616
GTEX-11DXY-0011-R6a-SM-DNZZF	-1.30912371431678
GTEX-11DXY-0011-R7a-SM-DO11L	-1.36195835189701
GTEX-11DXY-0011-R8a-SM-DO11M	-0.656287197039806
GTEX-11DXY-0126-SM-5H11Q	-0.82520798397661
GTEX-11DXY-0226-SM-5H123	-0.53721777253179
GTEX-11DXY-0326-SM-5H12F	-0.176630039972486
GTEX-11DXY-0426-SM-5H12R	-0.397571367878193
GTEX-11DXY-0526-SM-5EGGQ	-1.64502916707722
GTEX-11DXY-0826-SM-5EGGR	-3.49277208387052
GTEX-11DXY-1026-SM-5987V	-2.107265733748
GTEX-11DXY-1126-SM-5987W	-0.459136627047971
GTEX-11DXY-1326-SM-5987Z	-0.781947830631282
GTEX-11DXY-1426-SM-5N9CN	-0.979348574067883
