sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-P44G-0011-R7A-SM-2I3F9	-1.83907420409216	-1.83907420409216	-1.83907420409216	-1.83907420409216
GTEX-P44G-0526-SM-2XCD1	-1.93982575890789	-1.93982575890789	-1.93982575890789	-1.93982575890789
GTEX-P44G-0626-SM-2I5EO	-0.287032577376736	-0.676565011329503	-0.676565011329503	-0.729491061091228
GTEX-P44G-0826-SM-2I5ES	-2.5300407589307	-2.76803453954568	-2.76803453954568	-3.79537514633422
GTEX-P44G-1126-SM-3NM9D	-1.24873850069261	-1.79566242521606	-1.79566242521606	-2.57035908088195
GTEX-P44G-2326-SM-2XCCZ	-1.21017639213866	-1.2314337281452	-1.2314337281452	-1.97275213923772
GTEX-P44G-2426-SM-2I5ER	-0.999077593928584	-1.2201064626762	-1.2201064626762	-1.2201064626762
GTEX-P44G-2526-SM-2I5EK	-0.626248177224655	-1.20759460174096	-1.20759460174096	-1.45114857548018
GTEX-P44H-0006-SM-2XCFB	-1.50268429564084	-1.50268429564084	-1.50268429564084	-2.06723197345589
GTEX-P44H-0008-SM-48TDW	0.473856888896938	0.473856888896938	0.473856888896938	0.0574673108462279
GTEX-P44H-0011-R10A-SM-2XCEK	-1.00185916857254	-1.08611429988654	-1.08611429988654	-1.08611429988654
GTEX-P44H-0011-R11A-SM-2XCER	-0.175440459774719	-1.03052438192627	-1.03052438192627	-1.03052438192627
GTEX-P44H-0011-R1A-SM-3NM8J	-0.923799353042612	-0.923799353042612	-0.923799353042612	-0.923799353042612
GTEX-P44H-0011-R3A-SM-D3L8E	-0.717558416853906	-1.03383632604103	-1.03383632604103	-1.03383632604103
GTEX-P44H-0011-R4A-SM-2XCEW	-1.84718401308595	-2.06481284182897	-2.06481284182897	-2.06481284182897
GTEX-P44H-0011-R5A-SM-2XCEX	-0.720467173171219	-0.855845782998034	-0.855845782998034	-0.91519859797629
GTEX-P44H-0011-R6A-SM-2XCF3	-0.644612374880697	-0.674223776674703	-0.674223776674703	-1.20898160046387
GTEX-P44H-0011-R8A-SM-2XCEL	-0.723870876313504	-0.723870876313504	-0.723870876313504	-1.14458145028695
GTEX-P44H-0226-SM-2XCEU	-0.933950661356602	-0.933950661356602	-0.933950661356602	-0.933950661356602
GTEX-P44H-0326-SM-2XCES	-0.360637595567821	-0.360637595567821	-0.360637595567821	-0.500103050348481
GTEX-P44H-0426-SM-2XCEZ	-2.14633072917328	-2.14633072917328	-2.14633072917328	-2.14633072917328
GTEX-P44H-0526-SM-2XCF1	-0.227449661114624	-0.227449661114624	-0.227449661114624	-0.227449661114624
GTEX-P44H-0626-SM-2XCF2	-0.975668358899492	-0.975668358899492	-1.02744914263155	-0.975668358899492
GTEX-P44H-0726-SM-48TBT	-1.2812484486381	-1.4809507259447	-1.4809507259447	-1.76661755781395
GTEX-P44H-1026-SM-3NM96	-0.386044466311231	-0.386044466311231	-0.386044466311231	-0.386044466311231
GTEX-P44H-1126-SM-48TBU	-0.841737983488447	-0.841737983488447	-0.841737983488447	-0.841737983488447
GTEX-P44H-1426-SM-E9U4O	-0.628504308792395	-0.628504308792395	-0.887297824916146	-0.73689361429348
GTEX-P44H-2226-SM-E9U4P	-0.342150504529765	-0.643262942289785	-0.846176287387461	-0.667044685554403
GTEX-P44H-2426-SM-2XCEJ	-0.103009102051019	-0.623830007719065	-0.623830007719065	-0.770168808592546
GTEX-P44H-2626-SM-2XCET	-0.689086398365145	-1.04122337280627	-1.04122337280627	-1.04122337280627
GTEX-P4PP-0005-SM-2HMKX	-2.7362296901695	-2.7362296901695	-2.7362296901695	-3.69148231886746
GTEX-P4PP-0008-SM-48TDV	0.402211767357234	0.402211767357234	0.402211767357234	-0.0179243289591827
GTEX-P4PP-0126-SM-3LK69	-0.479709890514561	-1.05255301645363	-1.05255301645363	-1.05255301645363
GTEX-P4PP-0226-SM-D4P1Z	-0.481606100014482	-0.481606100014482	-0.481606100014482	-0.720223523609861
GTEX-P4PP-0326-SM-33HC4	-2.09091386136912	-2.47933367703009	-2.47933367703009	-2.52726919240628
GTEX-P4PP-0426-SM-3NM9H	-0.798948158617233	-0.798948158617233	-0.798948158617233	-0.798948158617233
GTEX-P4PP-0526-SM-2HMKE	0.423587956384639	0.0813134555812058	0.0813134555812058	-0.911054684439941
GTEX-P4PP-0626-SM-3NM9X	0.247273947264853	0.247273947264853	0.247273947264853	-0.118108645147321
GTEX-P4PP-0726-SM-3NM9S	-0.773808848422711	-0.773808848422711	-0.773808848422711	-0.773808848422711
GTEX-P4PP-0926-SM-48TBZ	-0.273542647480141	-1.23879301024969	-1.23879301024969	-1.23879301024969
GTEX-P4PP-1026-SM-3NM9O	-0.563938835622257	-2.52875971348296	-2.52875971348296	-2.52875971348296
GTEX-P4PP-1426-SM-3NM9L	0.606781423767649	0.456024271764628	0.456024271764628	-1.0954296456144
GTEX-P4PP-1526-SM-3P61M	0.204264405136385	-0.849338602533552	-0.849338602533552	-1.16427605924304
GTEX-P4PP-1626-SM-2HMJF	-1.45321628989208	-1.45321628989208	-1.45321628989208	-1.88332751648267
GTEX-P4PP-1726-SM-2S1NS	-0.301624462004553	-0.301624462004553	-0.301624462004553	-0.301624462004553
GTEX-P4PP-1826-SM-2S1NT	-0.710976620704852	-0.710976620704852	-0.749894764856733	-0.710976620704852
GTEX-P4PP-2026-SM-3P61N	-0.534443621783059	-1.40676185455809	-1.40676185455809	-1.40676185455809
GTEX-P4PP-2426-SM-3P61L	-0.234124564314686	-0.57650494937048	-0.822928789999507	-0.57650494937048
GTEX-P4PP-2526-SM-3P61P	0.0269300191779349	-0.4463257974945	-0.468573606793617	-0.4463257974945
GTEX-P4PP-3026-SM-3P61O	-0.467111521234896	-0.467111521234896	-0.467111521234896	-0.467111521234896
GTEX-P4PQ-0005-SM-2HMKJ	-2.70146507564943	-2.70146507564943	-2.70146507564943	-2.70146507564943
GTEX-P4PQ-0008-SM-48TDX	-0.222097099056264	-0.222097099056264	-0.222097099056264	-0.222097099056264
